ts,ms,pump,manual_override,alert,reason,context,rec_ms,tTop,tMid,tBot,dT_tb,pressure_hPa,lux,irObj,irAmb,airT,airRH,tds_mV,tds_sat,micRMS,DOproxy,ml_on,ml_pred,ml_conf,ml_used,extra
1758845441.036216,185473,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.9,22.69,20.47,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845442.025495,186465,False,False,False,none,night,0,19.44,19.5,19.94,-0.5,1000.9,108.9,22.65,20.49,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845443.0363278,187473,False,False,False,none,night,0,19.44,19.56,19.87,-0.44,1000.9,109.0,22.59,20.45,19.5,69,0,False,0.0,9.05,True,calm,0.656,False,
1758845445.316463,188465,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.9,22.57,20.41,19.5,69,7,False,0.0,9.06,True,uniform-overheat,0.793,False,
1758845445.532066,189969,False,False,False,none,night,0,19.44,19.56,19.87,-0.44,1001.0,108.8,22.63,20.47,19.5,69,0,False,0.0,9.05,True,calm,0.656,False,
1758845446.5310268,190961,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.7,22.63,20.47,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845447.5349262,191969,False,False,False,none,night,0,19.5,19.5,19.87,-0.37,1001.0,108.9,22.69,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845449.818499,192961,False,False,False,none,night,0,19.44,19.56,19.87,-0.44,1000.9,108.9,22.69,20.45,19.5,69,0,False,0.0,9.05,True,calm,0.656,False,
1758845450.0322182,194465,False,False,False,none,night,0,19.44,19.56,19.87,-0.44,1001.0,108.9,22.65,20.45,19.5,69,8,False,0.0,9.05,True,uniform-overheat,0.793,False,
1758845451.0390139,195473,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.9,22.69,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
